date,close,volume,open,high,low
26/7/19,207.74,"17,618,874",207.45,209.73,207.14
25/7/19,207.02,13909560,208.89,209.24,206.73
24/7/19,208.67,14991570,207.67,209.15,207.17
23/7/19,208.84,18355210,208.46,208.91,207.29
22/7/19,207.22,22277930,203.65,207.23,203.61
19/7/19,202.59,20929310,205.79,206.5,202.36
18/7/19,205.66,18582160,204,205.88,203.7
17/7/19,203.35,14107450,204.05,205.0915,203.27
16/7/19,204.5,16866820,204.59,206.11,203.5
15/7/19,205.21,16947420,204.09,205.87,204
12/7/19,203.3,17595210,202.45,204,202.2
11/7/19,201.75,20191840,203.31,204.39,201.71
10/7/19,203.23,17897140,201.85,203.73,201.56
9/7/19,201.24,20578020,199.2,201.51,198.81
8/7/19,200.02,25338630,200.81,201.4,198.41
5/7/19,204.23,17265520,203.35,205.08,202.9
3/7/19,204.41,11362050,203.28,204.44,202.6901
2/7/19,202.73,16935220,201.41,203.1323,201.36
1/7/19,201.55,27316740,203.17,204.49,200.65